"SMILES","CASRN","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","PgP inhibitor","Dataset","Cell line","INCHI_KEY"
"CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35","-","-","-","Morphine","A5683","11961113","968","1","yes","","Caco","BQJCRHHNABKAKU-KBQPJGBKSA"
"CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O","-","-","-","Alfentanil","A5684","10463589","968","1","yes","","Caco","IDBPHNDTYPBSNI-UHFFFAOYSA"
"NC(=N)N1CCC2=C(C1)C=CC=C2","-","-","-","Debrisoquine","A5683","11961113","968","1","yes","","Caco","JWPGJSVJDAJRLW-UHFFFAOYSA"
"CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1","-","-","-","sufentanil","A5684","10463589","968","1","yes","","Caco","GGCSSNBKKAUURC-UHFFFAOYSA"
"CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1","-","-","-","Fexofenadine","A5683","11961113","968","1","yes","","Caco","RWTNPBWLLIMQHL-UHFFFAOYSA"
"CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1","-","-","-","Fentanyl","A5684","10463589","968","1","yes","","Caco","PJMPHNIQZUBGLI-UHFFFAOYSA"
"CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1","-","-","-","loperamide","A5684","10463589","968","1","yes","","Caco","RDOIQAHITMMDAJ-UHFFFAOYSA"
"CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12","-","-","-","Indinavir","A5683","11961113","968","1","yes","","Caco","CBVCZFGXHXORBI-PXQQMZJSSA"
"COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]1C[C@@H]2CCN1C[C@@H]2C=C","-","-","-","quinidine","A5683","11961113","968","1","yes","","Caco","LOUPRKONTZGTKE-LHHVKLHASA"
"CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C","-","-","-","nelfinavir","A5683","11961113","968","1","yes","","Caco","QAGYKUNXZHXKMR-HKWSIXNMSA"
"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1","-","-","-","saquinavir","A5683","11961113","968","1","yes","","Caco","QWAXKHKRTORLEM-UGJKXSETSA"
"Cl.COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1","-","-","-","Verapamil","A5683","11961113","968","1","yes","","CEM/VLB100, Caco-2 cells","DOQPXTMNIUCOSY-UHFFFAOYSA"
"COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C","-","-","-","mibefradil","A5683","11961113","968","1","yes","","Caco","HBNPJJILLOYFJU-VMPREFPWSA"
"CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1","-","-","-","Ketoconazole","A5683","11961113","968","1","yes","","LLC-PK1, Caco-2 cells","XMAYWYJOQHXEEK-OZXSUGGESA"
"COC1=C(OC)C=C(CC(C)NCCC=C2C3=C(CCC4=C2C=CC=C4)C=CC=C3)C=C1","-","-","-","CP 12379","A5683","11961113","968","1","yes","","Caco","VZIBRUDXJSKHCO-UHFFFAOYSA"
"OC(COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1","-","-","-","CP 147478","A5683","11961113","968","1","yes","","Caco","KLWUUPVJTLHYIM-UHFFFAOYSA"
"COC1=C(OC)C=C(CCNC2=NC3=C(C(C)=CC=C3)C(=N2)N(C)CC2=CC=CC=C2)C=C1","-","-","-","CP 114769","A5683","11961113","968","1","yes","","Caco","CXEIOBWQFIHHJM-UHFFFAOYSA"
"O[C@H](COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)C1C2=CC=CC=C2CCC2=CC=CC=C12","-","-","","CP 117227","A5683","11961113","968","1","yes","","Caco","YLQSXCMKFKBZLE-VWLOTQADSA"
"COC1=C(OC)C=C2C(NCCC3=CC=CC(OC)=C3OC)=NC(NCCC3=CC=CC(OC)=C3OC)=NC2=C1","-","-","-","CP 101556","A5683","11961113","968","1","yes","","Caco","WHNCLXBOWSCERG-UHFFFAOYSA"
"Cl.Cl.Cl.O[C@@H](COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)C1C2=CC=CC=C2[C@@H]2[C@H](C3=CC=CC=C13)C2(F)F","-","-","","LY335979","A5683","11961113","968","1","yes","","CEM/VLB100, Caco-2 cells","ZPFVQKPWGDRLHL-ZLYBXYBFSA"
"COC1=CC=C(CCNC2=NC3=CC=C(C=C3C(=N2)N2CCC3=C(C2)C=C(OC)C(OC)=C3)N(C)C)C=C1OC","-","-","-","CP 114416","A5683","11961113","968","1","yes","","Caco","SORIMYYQBCNPPI-UHFFFAOYSA"
"COC1=CC=C(CCNC2=NC3=CC(OC)=C(OC)C=C3C(=N2)N2CCC3=C(C2)C=C(OC)C(OC)=C3)C=C1OC","-","-","-","CP 100356","A5683","11961113","968","1","yes","","Caco","PPMZZFZYBXDSRH-UHFFFAOYSA"
"CC[C@]1(O)C[C@@H]2CN(C1)CCC1=C(NC3=CC=CC=C13)[C@@](C2)(C(=O)OC)C1=C(OC)C=C2N(C)[C@@H]3[C@]4(CCN5CC=C[C@](CC)([C@@H]45)[C@@H](OC(C)=O)[C@]3(O)C(=O)OC)C2=C1","-","-","-","Vinblastine","A5683","11961113","970","3","yes","","CEM/VLB100","JXLYSJRDGCGARV-CFWMRBGOSA"
"CC[C@]1(O)C[C@H]2CN(C1)CCC1=C(NC3=CC=CC=C13)[C@@](C2)(C(=O)OC)C1=C(OC)C=C2N(C=O)[C@@H]3[C@]4(CCN5CC=C[C@](CC)([C@@H]45)[C@@H](OC(C)=O)[C@]3(O)C(=O)OC)C2=C1","-","-","-","Vincristine","A5683","11961113","970","3","yes","","CEM/VLB100","OGWKCGZFUXNPDA-XQKSVPLYSA"
"CC(C)C1NC(=O)C(NC(=O)C2=CC=C(C)C3=C2N=C2C(O3)=C(C)C(=O)C(N)=C2C(=O)NC2C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(NC2=O)C(C)C)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O","-","-","-","actinomycin D","A5683","11961113","970","3","yes","","CEM/VLB100","RJURFGZVJUQBHK-UHFFFAOYSA"
"COC1=CC(=CC(OC)=C1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)C2=CC3=C(OCO3)C=C12","-","-","-","Etoposide","A5683","11961113","970","3","yes","","CEM/VLB100","VJJPUSNTGOMMGY-MRVIYFEKSA"
"CC(=O)O[C@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C3=CC=CC=C3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1","-","-","-","Paclitaxel","A5683","11961113","970","3","yes","","CEM/VLB100","RCINICONZNJXQF-LOQTUHTGSA"
"CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O","-","-","-","mitomycin C","A5683","11961113","970","3","yes","","CEM/VLB100","NWIBSHFKIJFRCO-WUDYKRTCSA"
"COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3C[C@](O)(C[C@H](O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C3=C1O)C(=O)CO)C2=O","-","-","-","Doxorubicin","A5683","11961113","970","3","yes","","CEM/VLB100","AOJJSUZBOXZQNB-TZSSRYMLSA"
"COC1=C(OC)C(OC)=C2C(CC[C@H](NC(C)=O)C3=CC(=O)C(OC)=CC=C23)=C1","-","-","-","colchicine","A5683","11961113","970","3","yes","","CEM/VLB100","IAKHMKGGTNLKSZ-INIZCTEOSA"
"CCCCS(=O)(=O)OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(OS(=O)(=O)CCCC)C=C2S1","-","-","-","LY292540","A5683","11961113","970","3","yes","","CEM/VLB100","XBDUGVCDTKDURO-UHFFFAOYSA"
"CCCCCCS(=O)(=O)OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(OS(=O)(=O)CCCCCC)C=C2S1","-","-","-","LY296097","A5683","11961113","970","3","yes","","CEM/VLB100","XMYQCJAHLDFPQX-UHFFFAOYSA"
"COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O","-","-","-","GF 120918","A5683","11961113","970","3","yes","","CEM/VLB100","OSFCMRGOZNQUSW-UHFFFAOYSA"
"O[C@H](COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)[C@H]1C2=C(C=CC=C2)C2C(C3=C1C=CC=C3)C2(Cl)Cl","-","-","-","LY335984","A5683","11961113","970","3","yes","","CEM/VLB100","ISHQZWGKIWGKBX-AKNFZWOHSA"
"O[C@@H](COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)[C@H]1C2=C(C=CC=C2)C2CC2C2=C1C=CC=C2","-","-","-","LY350344","A5683","11961113","970","3","yes","","CEM/VLB100","OBNAQKJYNBZASY-YVDILKGHSA"
"O[C@@H](COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)[C@H]1C2=C(C=CC=C2)C2C(C3=C1C=CC=C3)C2(F)F","-","-","-","LY335977","A5683","11961113","970","3","yes","","CEM/VLB100","IHOVFYSQUDPMCN-QKUIIBHLSA"
"O[C@@H](COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)[C@H]1C2=C(C=CC=C2)C2C(C3=C1C=CC=C3)C2(Cl)Cl","-","-","-","LY335983","A5683","11961113","970","3","yes","","CEM/VLB100","ISHQZWGKIWGKBX-QKUIIBHLSA"
"OC(=O)\C=C/C(O)=O.C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1","-","-","-","Ergometrine","A5683","11961113","970","4","yes","","LLC-PK1","YREISLCRUMOYAY-IIPCNOPRSA"
"CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O","-","-","-","TROLEANDOMYCIN","A5683","11961113","970","4","yes","","LLC-PK1","LQCLVBQBTUVCEQ-GSELTXNRSA"
"ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1","-","-","-","Clotrimazole","A5683","11961113","970","4","yes","","LLC-PK1","VNFPBHJOKIVQEB-UHFFFAOYSA"
"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O","-","-","-","Erythromycin","A5683","11961113","970","4","yes","","LLC-PK1","ULGZDMOVFRHVEP-RWJQBGPGSA"
"OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1","-","-","-","Fluconazole","A5683","11961113","970","4","yes","","LLC-PK1","RFHAOTPXVQNOHP-UHFFFAOYSA"
"ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1","-","-","-","miconazole","A5683","11961113","970","4","yes","","LLC-PK1","BYBLEWFAAKGYCD-UHFFFAOYSA"
"CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=C4C=CC(OC)=C5)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)C1=CC(OC)=C(OC)C(OC)=C1","-","-","-","reserpine","A5683","11961113","970","4","yes","","LLC-PK1","QEVHRUUCFGRFIF-MDEJGZGSSA"
"CN1C[C@@H](C[C@H]2[C@H]1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O","-","-","-","Dihydroergotamine","A5683","11961113","970","4","yes","","LLC-PK1","LUZRJRNZXALNLM-JGRZULCMSA"
"CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=CNC6=CC=CC(=C56)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C","-","-","-","Ergocornine","A5683","11961113","970","4","yes","","LLC-PK1","UJYGDMFEEDNVBF-OGGGUQDZSA"
"CC(C)C1(NC(=O)C2CN(C)C3CC4=CNC5=CC=CC(=C45)C3=C2)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O","-","-","-","Ergocristine","A5683","11961113","970","4","yes","","LLC-PK1","HEFIYUQVAZFDEE-UHFFFAOYSA"
"OC(C(O)C(O)=O)C(O)=O.CN1C[C@@H](C=C2C1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)C3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O.CN1C[C@@H](C=C2C1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)C3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O","-","-","-","Ergotamine","A5683","11961113","970","4","yes","","LLC-PK1","CJMJLDQKTOJACI-OCYNNJDWSA"
