_id,drug,structure,transporter,species,geneName,geneId,type,place,method,experimentalSystem,dose,route,substanceMeasured,concomitant,time,comment,parameterType,parameter,value,units,reference,source,sourceLink,year,TransporterInfo_id,fullname,structurelink
ISTE024211,Prasugrel Hydrochloride,Cl.CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,10 mg for 9 days,Oral,Digoxin,[Digoxin],,AUC(0-24),AUC,AUC decrease,13,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022307/S-000 Part 48, page:8 PDF 858k",FDA approval package document,,2008,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024212,Prasugrel Hydrochloride,Cl.CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,10 mg for 9 days,Oral,Digoxin,[Digoxin],,AUC(0-24),AUC,AUC decrease,13,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022307/S-000 Part 48, page:9 PDF 858k",FDA approval package document,,2008,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024216,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 01, page:19 PDF 6476k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024217,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 01, page:32 PDF 6476k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024218,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 01, page:36 PDF 6476k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024219,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"30 mg/d, 14 days",Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 08, page:23 PDF 5992k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024220,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 11, page:21 PDF 8090k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024221,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 11, page:57 PDF 8090k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024222,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 11, page:94 PDF 8090k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024223,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 18, page:35 PDF 4368k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024224,Paroxetine Hydrochloride,Cl.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 020031/S-007, S-009 Part 19, page:49 PDF 7701k",FDA approval package document,,1992,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024225,Paroxetine Mesylate,CS(O)(=O)=O.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC decrease,15,%,"FDA approval package document: Approval Package 021299/S-001, page:9 PDF 3348k",FDA approval package document,,2003,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024226,Paroxetine Mesylate,CS(O)(=O)=O.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC decrease,15,%,"FDA approval package document: Printed Labeling 021299/S-000, page:10 PDF 1041k",FDA approval package document,,2003,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024227,Tegaserod Maleate,OC(=O)\C=C\C(O)=O.CCCCCNC(=N)N\N=C/C1=CNC2=C1C=C(OC)C=C2,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,6 mg BID for 6 days,Oral,Digoxin,[Digoxin],,,AUC,AUC decrease,15,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 021200/S-000 Part 01, page:13 PDF 958k",FDA approval package document,,2000,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024304,Obeticholic Acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,10 mg/d,Oral,Digoxin,[Digoxin],,,AUC,AUC increase,1,%,"FDA approval package document: Label 207999/S-000 Part 01, page:13 PDF 355k",FDA approval package document,,2016,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024305,Obeticholic Acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,10 mg/d,Oral,Digoxin,[Digoxin],,compared to concomitant drug alone,AUC,AUC increase,1,%,"FDA approval package document: Label 207999/S-000, page:12 PDF 581k",FDA approval package document,,2016,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024312,Empagliflozin,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C(Cl)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,,Oral,Digoxin,[Digoxin],,compared to concominant drug alone,AUC,AUC increase,6,%,"EMA approval document: ANNEX I, page:7 PDF 370k",EMA approval document,,2017,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024313,Saxagliptin Hydrochloride,Cl.[H][C@]12C[C@]3([H])C[C@](O)(C1)C[C@](C2)(C3)[C@H](N)C(=O)N1[C@@H](C[C@]2([H])C[C@]12[H])C#N,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"10 mg/d, for 7 days",Oral,Digoxin,[Digoxin],,"AUC(0-tau), steady-state",AUC,AUC increase,6,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022350/S-000 Part 01, page:66 PDF 5032k",FDA approval package document,,2008,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024314,Edoxaban Tosylate,O.CC1=CC=C(C=C1)S(O)(=O)=O.CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]1C[C@H](CC[C@@H]1NC(=O)C(=O)NC1=NC=C(Cl)C=C1)C(=O)N(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"60 mg/d, for 14 days",Oral,Digoxin,[Digoxin],,compared to concominant drug alone,AUC,AUC increase,7,%,"EMA approval document: ANNEX I, page:11 PDF 495k",EMA approval document,,2020,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024318,Cobicistat,CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,150 mg once daily for 10 days,Oral,Digoxin,[Digoxin],0-inf,,AUC,AUC increase,7.7,%,"EMA approval document: Assessment Report EMA/CHMP/609914/2013; EMEA/H/C/002572/0000, page:34 PDF 1120k",EMA approval document,,2013,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024323,Pexidartinib Hydrochloride,Cl.FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,1800 mg,Oral,Digoxin,[Digoxin],,AUC(0-inf); compared to concomitant drug alone; geometric mean,AUC,AUC increase,9,%,"FDA approval package document: Approval Package 211810/S-000 Part 03, page:12 PDF 629k",FDA approval package document,,2019,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024324,Pexidartinib Hydrochloride,Cl.FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,1800 mg,Oral,Digoxin,[Digoxin],,compared to concomitant drug alone,AUC,AUC increase,9,%,"FDA approval package document: Label 211810/S-001, page:15 PDF 424k",FDA approval package document,,2019,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024325,Venetoclax,CC1(C)CCC(CN2CCN(CC2)C2=CC(OC3=CN=C4NC=CC4=C3)=C(C=C2)C(=O)NS(=O)(=O)C2=CC=C(NCC3CCOCC3)C(=C2)N(=O)=O)=C(C1)C1=CC=C(Cl)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,100 mg,Oral,Digoxin,[Digoxin],,AUC(0-inf),AUC,AUC increase,9,%,"EMA approval document: ANNEX I, page:9 PDF 482k",EMA approval document,,2020,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024326,Pantoprazole Sodium,[Na+].COC1=C(OC)C(=NC=C1)\C=S([O-])\C1=NC2=CC(OC(F)F)=CC=C2N1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,40 mg,Oral,Digoxin,[Digoxin],,,AUC,AUC increase,10.4,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 020988/S-000, page:46 PDF 1747k",FDA approval package document,,1999,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024327,Gatifloxacin,COC1=C(N2CCNC(C)C2)C(F)=CC2=C1N(C=C(C(O)=O)C2=O)C1CC1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,400 mg,Oral,Digoxin,[Digoxin],,"AUC(0-tau), steady state",AUC,AUC increase,11,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 021061, page:30 PDF 1099k",FDA approval package document,,1999,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024329,Gatifloxacin,COC1=C(N2CCNC(C)C2)C(F)=CC2=C1N(C=C(C(O)=O)C2=O)C1CC1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,400 mg,Oral,Digoxin,[Digoxin],,"AUC(0-tau), steady state",AUC,AUC increase,11,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 021061/S-000; 021062/S-000, page:31 PDF 1141k",FDA approval package document,,1999,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024334,Sitagliptin Phosphate,O.OP(O)(O)=O.N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,100 mg,Oral,Digoxin,[Digoxin],,,AUC,AUC increase,11,%,"EMA approval document: ANNEX I, page:5 PDF 444k",EMA approval document,,2020,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024336,Sitagliptin Phosphate,O.OP(O)(O)=O.N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,100 mg,Oral,Digoxin,[Digoxin],,,AUC,AUC increase,11,%,"EMA approval document: ANNEX I, page:5 PDF 457k",EMA approval document,,2020,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024337,Sitagliptin Phosphate,O.OP(O)(O)=O.N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,100 mg,Oral,Digoxin,[Digoxin],,,AUC,AUC increase,11,%,"EMA approval document: ANNEX I, page:5 PDF 458k",EMA approval document,,2020,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024340,Zanubrutinib,NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,160 mg,Oral,Digoxin,[Digoxin],,compared to concomitant drug alone,AUC,AUC increase,11.3,%,"FDA approval package document: Approval Package 213217/S-000 Part 02, page:40 PDF 15322k",FDA approval package document,,2019,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024346,Lurasidone Hydrochloride,Cl.[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC3=C1C=CC=C3)C2=O,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,120 mg once daily on days 6-14,Oral,Digoxin,[Digoxin],,AUC(0-24h),AUC,AUC increase,13,%,DOI:10.1515/dmdi20140005   ISSN:07925077   JOURNAL:Drug Metabolism and Drug Interactions   PAGES:191   VOLUME:29,Literature,http://dx.doi.org/10.1515/dmdi-2014-0005,2014,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024347,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"12.5 mg/d for 2 days, then 25 mg qd for 12 days",Oral,Digoxin,[Digoxin],,AUC(0-24),AUC,AUC increase,14,%,"FDA approval package document: Administrative documents 020297 Part 03, page:60 PDF 2287k",FDA approval package document,,1995,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024348,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,25 mg qd for 14 days,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC increase,14,%,"FDA approval package document: Administrative documents 020297, page:20 PDF 2154k",FDA approval package document,,1995,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024349,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,25 mg qd for 14 days,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC increase,14,%,"FDA approval package document: Administrative documents 020297, page:58 PDF 2103k",FDA approval package document,,1995,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024350,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"12.5 mg/d for 2 days, then 25 mg/d for 12 days",Oral,Digoxin,[Digoxin],,AUC(0-24),AUC,AUC increase,14,%,"FDA approval package document: Medical/Clinical Review 020297 Part 01, page:9 PDF 1734k",FDA approval package document,,1993,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024351,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,25 mg qd for 14 days,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC increase,14,%,"FDA approval package document: Printed Labeling 020297/S-007, page:5 PDF 993k",FDA approval package document,,2001,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024352,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,25 mg qd for 14 days,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC increase,14,%,"FDA approval package document: Printed Labeling 020297/S-009, page:5 PDF 1108k",FDA approval package document,,2003,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024353,Carvedilol Phosphate,O.OP(O)(O)=O.COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,25 mg qd for 14 days,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC increase,14,%,"FDA approval package document: Medical/Clinical Review 022012/S-000 Part 01, page:75 PDF 7285k",FDA approval package document,,2006,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024354,Carvedilol Phosphate,O.OP(O)(O)=O.COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,25 mg qd for 14 days,Oral,Digoxin,[Digoxin],,steady-state,AUC,AUC increase,14,%,"FDA approval package document: Printed Labeling 022012/S-000, page:4 PDF 2158k",FDA approval package document,,2006,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024359,Atorvastatin Calcium,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC=C2)=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,80 mg QD for 14 days,Oral,Digoxin,[Digoxin],,,AUC,AUC increase,15,%,"FDA approval package document: Label 020702/S-060, page:14 PDF 744k",FDA approval package document,,2012,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
