_id,drug,structure,transporter,species,geneName,geneId,type,place,method,experimentalSystem,dose,route,substanceMeasured,concomitant,time,comment,parameterType,parameter,value,units,reference,source,sourceLink,year,TransporterInfo_id,fullname,structurelink
ISTE097859,Selamectin,CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@@]34O)O[C@@H](C)[C@@H]1O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,Rhodamine 123,,,,Ki,Ki,0.12,μM,"Griffin, 2005",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069005,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0.3-3 uM,,Seletalisib,[Seletalisib],,compared to concomitant drug alone,IC50,IC50,0.13,uM,DOI:10.1016/j.ejps.2019.105122   ISSN:09280987   JOURNAL:European Journal of Pharmaceutical Sciences   PAGES:105122   VOLUME:142,Literature,http://dx.doi.org/10.1016/j.ejps.2019.105122,2020,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097568,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0.3-3 uM,,Seletalisib,[Seletalisib],,compared to concomitant drug alone,Ki,Ki,0.13,uM,DOI:10.1016/j.ejps.2019.105122   ISSN:09280987   JOURNAL:European Journal of Pharmaceutical Sciences   PAGES:105122   VOLUME:142,Literature,http://dx.doi.org/10.1016/j.ejps.2019.105122,2020,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069007,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,[Lucifer yellow],[Lucifer yellow],,,IC50,IC50,0.15,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069009,Carvedilol,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-60 uM,,Digoxin,[Digoxin],2.5 h,,IC50,IC50,0.15,uM,DOI:10.1002/jps.22652   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:4013   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22652,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069010,Itraconazole,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"LLC-PK1 cells, recombinant",0-6 uM,,[Bodipy]-Verapamil,[Verapamil Hydrochloride],,,IC50,IC50,0.15,uM,DOI:10.1002/jps.22566   JOURNAL:Journal of Pharmaceutical Sciences   PAGES:3055   VOLUME:100,Literature,http://dx.doi.org/10.1002/jps.22566,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE073222,Itraconazole,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"L-MDR1 cells, recombinant",,,Rivaroxaban,[Rivaroxaban],0-2 h,,IC50,IC50 BA/AB,0.16,uM,DOI:10.1124/jpet.111.180240   JOURNAL:Journal of Pharmacology and Experimental Therapeutics   PAGES:372   VOLUME:338,Literature,http://dx.doi.org/10.1124/jpet.111.180240,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069013,Ivacaftor,CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,Digoxin,,,,IC50,IC50,0.17,uM,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 203188/S-000 Part 03, page:34 PDF 10144k",FDA approval package document,,2012,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097860,Elacridar (GF120918)2,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDCKII-MDR1 cells,,,"Digoxin1,3",,,,Ki,Ki,0.18,μM,"Keogh, 2006",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069015,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,K562 cells,,,Calcein AM,[Calcein acetomethoxy ester],8 min,,IC50,IC50,0.2,uM,DOI:10.3109/00498254.2011.587033   JOURNAL:Xenobiotica   PAGES:712   VOLUME:41,Literature,http://dx.doi.org/10.3109/00498254.2011.587033,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069017,Verapamil Hydrochloride,Cl.COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,K562 cells,,,[3H]-Vincristine,[Vincristine Sulfate],10 min,,IC50,IC50,0.2,uM,DOI:10.1111/j.13497006.2009.01213.x   JOURNAL:Cancer Science   PAGES:1701   VOLUME:100,Literature,http://dx.doi.org/10.1111/j.1349-7006.2009.01213.x,2009,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070339,Itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Mouse mdr1a expressing LLC-PK1 cells,,,Calcein AM,,,,IC50,IC50,0.2,μM,"Schwab, 2003",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070340,Tariquidar,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4NC(=O)C5=CC6=CC=CC=C6N=C5)OC)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,KBV1 cells,,,Calcein AM,,,,IC50,IC50,0.2,μM,"Obreque-Balboa, 2016",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097861,Elacridar,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 expressing Kb-V1 cells,,,Calcein AM,,,,Ki,Ki,0.2,μM,"Puentes, 2011",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097862,Tariquidar,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4NC(=O)C5=CC6=CC=CC=C6N=C5)OC)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 expressing Kb-V1 cells,,,Calcein AM,,,,Ki,Ki,0.2,μM,"Puentes, 2011",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070341,SDZ 280-446,CC[C@H](C)[C@H]1C(=O)NCC(=O)N([C@H](C(=O)N[C@H](C(=O)O[C@H](C(=O)N2CCCC[C@H]2C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N(C(C(=O)N1C)[C@@H](C)CC)C)CC(=O)OC(C)(C)C)C)C(C)C)C(C)C)C)C)CC3=CC=C(C=C3)OC)C(C)C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,CEM cells,,,Calcein AM,,,,IC50,IC50,0.22,μM,"Tiberghien, 1996",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097569,Ivermectin,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@@H](OC)[C@@H](O[C@H]5C[C@@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)C(O5)[C@@H](C)CC)O4)OC(=O)[C@H](C=C(C)[C@H]1O)[C@@]23O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,SH-SY-5Y cells,<=7 uM,,Hoechst 33342,[Hoechst 33342],40 min,,Ki,Ki,0.24,uM,DOI:10.1016/j.toxlet.2015.04.005   ISSN:03784274   JOURNAL:Toxicology Letters   PAGES:189   VOLUME:235,Literature,http://dx.doi.org/10.1016/j.toxlet.2015.04.005,2015,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069018,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,K562 cells,0.08-100 uM,,Calcein AM,[Calcein acetomethoxy ester],8 min,,IC50,IC50,0.247,uM,DOI:10.1007/s0021083450   JOURNAL:NaunynSchmiedeberg's Archives of Pharmacology   PAGES:11   VOLUME:379,Literature,http://dx.doi.org/10.1007/s00210-008-0345-0,2009,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE073225,Ivermectin,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@@H](OC)[C@@H](O[C@H]5C[C@@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)C(O5)[C@@H](C)CC)O4)OC(=O)[C@H](C=C(C)[C@H]1O)[C@@]23O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"L-MDR1 cells, recombinant",,,Rivaroxaban,[Rivaroxaban],0-2 h,,IC50,IC50 BA/AB,0.25,uM,DOI:10.1124/jpet.111.180240   JOURNAL:Journal of Pharmacology and Experimental Therapeutics   PAGES:372   VOLUME:338,Literature,http://dx.doi.org/10.1124/jpet.111.180240,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069022,Ivermectin,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@@H](OC)[C@@H](O[C@H]5C[C@@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)C(O5)[C@@H](C)CC)O4)OC(=O)[C@H](C=C(C)[C@H]1O)[C@@]23O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,SH-SY-5Y cells,<=7 uM,,Hoechst 33342,[Hoechst 33342],40 min,,IC50,IC50,0.27,uM,DOI:10.1016/j.toxlet.2015.04.005   ISSN:03784274   JOURNAL:Toxicology Letters   PAGES:189   VOLUME:235,Literature,http://dx.doi.org/10.1016/j.toxlet.2015.04.005,2015,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097570,Quinidine Gluconate,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"P388 VMDR C0.4 cells, recombinant",0-100 uM,,[3H]-Daunorubicin,[Daunorubicin Hydrochloride],60 min,,Ki,Ki,0.29,uM,JOURNAL:Biochimica et Biophysica Acta  Molecular Basis of Disease   PAGES:8   VOLUME:1316,Literature,,1996,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097572,Quinidine Polygalacturonate,O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O.[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"P388 VMDR C0.4 cells, recombinant",0-100 uM,,[3H]-Daunorubicin,[Daunorubicin Hydrochloride],60 min,,Ki,Ki,0.29,uM,JOURNAL:Biochimica et Biophysica Acta  Molecular Basis of Disease   PAGES:8   VOLUME:1316,Literature,,1996,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097573,Quinidine Sulfate,OS(O)(=O)=O.[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"P388 VMDR C0.4 cells, recombinant",0-100 uM,,[3H]-Daunorubicin,[Daunorubicin Hydrochloride],60 min,,Ki,Ki,0.29,uM,JOURNAL:Biochimica et Biophysica Acta  Molecular Basis of Disease   PAGES:8   VOLUME:1316,Literature,,1996,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070342,Norverapamil,CC(C)C(CCCNCCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,"Digoxin1,3",,,,IC50,IC50,0.3,μM,"Pauli-Magnus, 2000",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
