drug,smiles,smiles_pH,smiles_neu,smiles_pH_MolDs,smiles_neu_MolDs
Sucrose Monostearate,CCCCCCCCCCCCCCCCCCC(=O)OC1C(CO)OC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCCCCCCCCCCCCC(=O)OC1C(CO)OC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCCCCCCCCCCCCC(=O)OC1C(CO)OC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,False,False
Sucrose Monooleate,CCCCCCCCC=CCCCCCCC(=O)OC1C(CO)OC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCCC=CCCCCCCC(=O)OC1C(CO)OC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCCC=CCCCCCCC(=O)OC1C(CO)OC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,False,False
TPGS,COc1ccc(C(C)C2CCC3(OC(=O)CC(O)(C(=O)O)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C(CCC3C(C)C)C2)cc1,COc1ccc(C(C)C2CCC3(OC(=O)CC(O)(C(=O)[O-])C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C(CCC3C(C)C)C2)cc1,COc1ccc(C(C)C2CCC3(OC(=O)CC(O)(C(=O)O)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C(CCC3C(C)C)C2)cc1,False,False
Cremophor EL,CC(C)CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Solutol HS 10,CCCCCCCCCCCC(O)CCCC(=O)OCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC(O)CCCC(=O)OCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC(O)CCCC(=O)OCCOCCOCCOCCOCCOCCOCCO,False,False
Solutol HS 15,CCCCCCCCCCCC(O)CCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC(O)CCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCC(O)CCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Labrasol,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OCCOCCOCCOCCOCCOCCOCCO,False,False
Softigen 767,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)OCCOCCOCCOCCOCCOCCOCCO,False,False
Myrj 52,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Myrj 59,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Brij 58,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Brij 78,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Gelucire 44/14,CCCCCCCCCCCCCCCCCC(=O)COC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)COC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)COC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)COC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)COC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)COC(=O)CCCCCCCCCCCCCCCCC,False,False
Gelucire 50/13,CCCCCCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCO)OCC(=O)CCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCO)OCC(=O)CCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCO)OCC(=O)CCCCCCCCCCC,False,False
AOT,CCCCC(C)COC(=O)C(C(=O)OCC(C)CCCC)S(=O)(=O)O,CCCCC(C)COC(=O)C(C(=O)OCC(C)CCCC)S(=O)(=O)[O-],CCCCC(C)COC(=O)C(C(=O)OCC(C)CCCC)S(=O)(=O)O,False,False
CTAB,CCCCCCCCCCCCCCCC[N+](C)(C)C,CCCCCCCCCCCCCCCC[N+](C)(C)C,CCCCCCCCCCCCCCCC[N+](C)(C)C,False,False
Soluplus,C=C(C)OC(=O)CC(CC=C(C)OC(=O)CC(CC=C(C)OC(=O)CC(COCCOCCOCCOCCOCCO)N1CCCC(=O)N1)N1CCCC(=O)N1)N1CCCC(=O)N1,C=C(C)OC(=O)CC(CC=C(C)OC(=O)CC(CC=C(C)OC(=O)CC(COCCOCCOCCOCCOCCO)N1CCCC(=O)N1)N1CCCC(=O)N1)N1CCCC(=O)N1,C=C(C)OC(=O)CC(CC=C(C)OC(=O)CC(CC=C(C)OC(=O)CC(COCCOCCOCCOCCOCCO)N1CCCC(=O)N1)N1CCCC(=O)N1)N1CCCC(=O)N1,False,False
Pluronic_8_16_,CC(COCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCO,CC(COCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCO,CC(COCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Pluronic_12_20,CC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Pluronic_10_16_,CC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,False,False
Dextran,OCC1OC(OC2C(OC3C(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(OC3C(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2C(OC3C(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,False,False
Agar,OCC1OC(OC2C(OC3OCC(OC4C(CO)OC(O)C(O)C4O)OC(CO)C3O)OC(O)C(O)C2O)COC(OC2OC(O)C(O)C(O)C2O)C1O,OCC1OC(OC2C(OC3OCC(OC4C(CO)OC(O)C(O)C4O)OC(CO)C3O)OC(O)C(O)C2O)COC(OC2OC(O)C(O)C(O)C2O)C1O,OCC1OC(OC2C(OC3OCC(OC4C(CO)OC(O)C(O)C4O)OC(CO)C3O)OC(O)C(O)C2O)COC(OC2OC(O)C(O)C(O)C2O)C1O,False,False
Gellan Gum,CC1C(OC2C(OC3C(OC4C(OCC5C(OC6C(OC7C(OC8C(CO)OC(O)C(O)C8O)OC(C(=O)O)C(O)C7O)OC(CO)C(O)C6O)OC(O)C5O)OC(O)C(O)C4O)OC(C(=O)O)C(O)C3O)OC(CO)C(O)C2O)OC(O)C1O,CC1C(OC2C(OC3C(OC4C(OCC5C(OC6C(OC7C(OC8C(CO)OC(O)C(O)C8O)OC(C(=O)[O-])C(O)C7O)OC(CO)C(O)C6O)OC(O)C5O)OC(O)C(O)C4O)OC(C(=O)[O-])C(O)C3O)OC(CO)C(O)C2O)OC(O)C1O,CC1C(OC2C(OC3C(OC4C(OCC5C(OC6C(OC7C(OC8C(CO)OC(O)C(O)C8O)OC(C(=O)O)C(O)C7O)OC(CO)C(O)C6O)OC(O)C5O)OC(O)C(O)C4O)OC(C(=O)O)C(O)C3O)OC(CO)C(O)C2O)OC(O)C1O,False,False
Gum Arabic,OCC1OC(O)C(O)C(C2OC(O)C(O)C(O)C2OC2OC(O)C(O)C(C3OC(O)C(O)C(O)C3OC3OC(O)C(O)C(C4OC(O)C(O)C(O)C4O)OC3CO)OC2CO)OC1CO,OCC1OC(O)C(O)C(C2OC(O)C(O)C(O)C2OC2OC(O)C(O)C(C3OC(O)C(O)C(O)C3OC3OC(O)C(O)C(C4OC(O)C(O)C(O)C4O)OC3CO)OC2CO)OC1CO,OCC1OC(O)C(O)C(C2OC(O)C(O)C(O)C2OC2OC(O)C(O)C(C3OC(O)C(O)C(O)C3OC3OC(O)C(O)C(C4OC(O)C(O)C(O)C4O)OC3CO)OC2CO)OC1CO,False,False
Xanthan Gum,OCC1OC(COC2C(OC3C(OC4C(COC5C(OC6C(CO)OC(O)C(O)C6O)OC(CO)C(O)C5O)OC(CO)C(O)C4O)OC(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(COC2C(OC3C(OC4C(COC5C(OC6C(CO)OC(O)C(O)C6O)OC(CO)C(O)C5O)OC(CO)C(O)C4O)OC(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,OCC1OC(COC2C(OC3C(OC4C(COC5C(OC6C(CO)OC(O)C(O)C6O)OC(CO)C(O)C5O)OC(CO)C(O)C4O)OC(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,False,False
Chitosan,NCC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1NCC1OC(CO)C(O)C(O)C1O,[NH3+]CC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1[NH2+]CC1OC(CO)C(O)C(O)C1O,NCC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1NCC1OC(CO)C(O)C(O)C1O,False,False
Monoolein,CCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,CCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,CCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,False,False
Monostearin,CCCCCCCCCCCCCCCCC(=O)OCC(O)CO,CCCCCCCCCCCCCCCCC(=O)OCC(O)CO,CCCCCCCCCCCCCCCCC(=O)OCC(O)CO,False,False
PC8,CCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)(O)OCC[N+](C)(C)C,CCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,CCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)(O)OCC[N+](C)(C)C,False,False
PC10,CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C,CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)COP(=O)(O)OCC[N+](C)(C)C,False,False
Methylated Cyclodextrin,COC1C(O)C2OC3C4OC5C6OC7CC(C6OC)C(C5OC)C(C4OC)C(C3OC)C(C2OC)C1O7,COC1C(O)C2OC3C4OC5C6OC7CC(C6OC)C(C5OC)C(C4OC)C(C3OC)C(C2OC)C1O7,COC1C(O)C2OC3C4OC5C6OC7CC(C6OC)C(C5OC)C(C4OC)C(C3OC)C(C2OC)C1O7,False,False
