CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL591676	599401	CHEMBL591676	599401		3f	591.96	5.99	133.13	2	COc1cc(on1)C(=O)Nn2c(NCc3ccc(cc3F)c4cc(Cl)cc(F)c4c5noc(C)n5)nc6ccccc26	3108844	Ratio	=	7.1	-	NA	Ratio	=	7.1			NA	0	BAO_0000179			612394	CHEMBL1066280	A	Efflux ratio of permeability from basolateral to apical side to apical to basolateral side in human Caco-2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	49827	CHEMBL1157728	20015651	Bioorg. Med. Chem. Lett.	2010	20	3	1229	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL257388	425701	CHEMBL257388	425701		R-26j	272.37	1.06	46.33	0	NC[C@@H]1C[C@@]1(C(=O)N(CC	NA			NA		NA			NA			NA	NA				NA				NA			NA	NA			NA			NA			NA		NA	NA	NA		NA		NA	NA	NA	NA	NA			NA	NA
CHEMBL260599	431497	CHEMBL260599	431497		1	393.53	4.88	30.93	0	COc1cccc2\C(=C\CCN3CCc4cc(OC)c(OC)cc4C3)\CCCc12	2142487	Ratio	=	1.6	-	NA	Ratio	=	1.6			NA	0	BAO_0000179			478532	CHEMBL923496	A	Ratio of permeability from apical to basolateral over basolateral to apical side of human Caco-2 cell membrane	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	39438	CHEMBL1144857	18276145	Bioorg. Med. Chem.	2008	16	7	3732	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2441952	1588471	CHEMBL2441952	1588471		2s, BMS-767778, More active atropisomer	407.3	2.87	79.53	0	CN(C)C(=O)CN1Cc2nc(C)c(CN)c(c3ccc(Cl)cc3Cl)c2C1=O	13497029	Ratio	>=	5	-	NA	Ratio	>=	5			NA	0	BAO_0000179			991604	CHEMBL2444169	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at pH 7.4	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	75278	CHEMBL2439999	23964740	J. Med. Chem.	2013	56	18	7343	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3098542	1609312	CHEMBL3098542	1609312		T-08	873.01	4.29	222.76	2	CO[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(=C([C@@H](OC(=O)N(C)C)C(=O)[C@]13C)C5(C)C)C	13865949	Ratio	=	3.95	-	NA	Ratio	=	3.95			NA	0	BAO_0000179			1282193	CHEMBL3102301	A	Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at 10 uM after 90 mins by LC-MS/MS analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	76427	CHEMBL3098054	24332858	Bioorg. Med. Chem.	2014	22	1	194	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL3098559	1609329	CHEMBL3098559	1609329		T-25	863.91	4.07	228.75	2	CO[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]56OC(=O)O[C@H]5[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c7ccccc7)C(=C1C6(C)C)C	13865940	Ratio	=	51.04	-	NA	Ratio	=	51.04			NA	0	BAO_0000179			1282193	CHEMBL3102301	A	Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at 10 uM after 90 mins by LC-MS/MS analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	76427	CHEMBL3098054	24332858	Bioorg. Med. Chem.	2014	22	1	194	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL247035	415424	CHEMBL247035	415424		14	444.3	2.5	112.33	0	COc1cccc(CN(c2c(Cl)c(Cl)cc3NC(=O)C(=O)Nc23)S(=O)(=O)C)c1	2036021	Ratio	=	4.67	-	NA	Ratio	=	4.67			NA	0	BAO_0000179			456505	CHEMBL887328	A	Ratio of permeability from basolateral to apical over apical to basolateral side of the Caco-2 cell membrane	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	37661	CHEMBL1140651	17562362	Bioorg. Med. Chem. Lett.	2007	17	16	4599	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL8809	4672	CHEMBL8809	4672	RACLOPRIDE	Raclopride	347.24	2.92	61.8	0	CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC	12649827	Ratio	=	0.5	-	NA	Ratio	=	0.5			NA	0	BAO_0000179			939282	CHEMBL2327079	A	Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells at 1 to 20 uM	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72063	CHEMBL2321719	23218776	Bioorg. Med. Chem.	2013	21	1	196	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1834781	1178829	CHEMBL1834781	1178829		14s	510.52	2.32	131.58	1	CCOC(=O)[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3nn(C(=O)N)c4ccc(cc34)C(F)(F)F	6378944	Ratio	=	10.9	-	NA	Ratio	=	10.9			NA	0	BAO_0000179			773011	CHEMBL1837930	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cell membrane	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	59202	CHEMBL1833932	21917454	Bioorg. Med. Chem. Lett.	2011	21	20	6042	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2420481	1579272	CHEMBL2420481	1579272		67	411.44	1.79	101.13	0	COc1ccc(cc1OC)c2csc(c2)C3=NN(C)C4=NC(=O)N(C)C(=O)C4=N3	13425877	Ratio	=	0.25	-	NA	Ratio	=	0.25			NA	0	BAO_0000179			978862	CHEMBL2423653	A	Efflux ratio of permeability across basolateral to apical side over apical to basolateral side in human Caco2 cells expressing p-gp	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	74591	CHEMBL2417532	23859074	J. Med. Chem.	2013	56	16	6352	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1780177	1148657	CHEMBL1780177	1148657		38, diastereomer	400.46	3.78	71.42	0	F[C@@H]1CNCC[C@H]1n2cc(c3ccc4c(Cc5c[nH]nc45)c3)c(n2)c6ccncc6	6202661	Ratio	=	1.55	-	NA	Ratio	=	1.55			NA	0	BAO_0000179			747763	CHEMBL1780962	A	Efflux ratio of apparent permeability from apical to basolateral side to basolateral to apical side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	57691	CHEMBL1777745	21536432	Bioorg. Med. Chem. Lett.	2011	21	11	3488	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1790041	1153672	CHEMBL1790041	1153672	RANITIDINE	Ranitidine	314.41	1.46	83.58	0	CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1	14598847	Ratio	=	6.6	-	NA	Ratio	=	6.6			NA	0	BAO_0000179			1337196	CHEMBL3240400	A	Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells after 2 hrs	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	82439	CHEMBL3232865	24602787	Eur. J. Med. Chem.	2014	76	NA	414	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1795682	1158724	CHEMBL1795682	1158724		12	479.87	2.13	113.68	0	Cc1ccc(cc1N2C=NC(=C(Cl)C2=O)OCc3ccc(F)cc3F)C(=O)NC[C@@H](O)CO	6261923	Ratio	=	32.8	-	NA	Ratio	=	32.8			NA	0	BAO_0000179			752784	CHEMBL1798420	A	Efflux ratio of permeability in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	58063	CHEMBL1795201	21620699	Bioorg. Med. Chem. Lett.	2011	21	13	3856	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2397489	1568001	CHEMBL2397489	1568001		8b, diastereomer	337.42	1.43	89.42	0	N[C@@H](Cc1ccccc1)C(=O)N2CC[C@@H]([C@@H]2C(=O)N)c3ccccc3	13356555	Ratio	=	86	-	NA	Ratio	=	86			NA	0	BAO_0000179			966829	CHEMBL2400830	A	Efflux ratio of permeability from basolateral to apical over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	74111	CHEMBL2396628	23735006	J. Med. Chem.	2013	56	12	4953	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL486336	516053	CHEMBL486336	516053		12a	447.58	4.93	40.16	0	COc1cccc(CCc2ccccc2OCCN3CCc4cc(OC)c(OC)cc4C3)c1	2385061	Ratio	=	6.4	-	NA	Ratio	=	6.4			NA	0	BAO_0000179			494041	CHEMBL938575	A	Ratio of apparent permeability from apical to basolateral over basolateral to apical side of human Caco-2 cells after 120 mins by UV-visible spectroscopy	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	45355	CHEMBL1140844	19053888	J. Med. Chem.	2008	51	23	7602	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2347992	1529826	CHEMBL2347992	1529826		36	488.55	2.05	142.86	0	CC(C)(CO)NC(=O)c1c[nH]c2ncc(nc12)c3nn(CCCS(=O)(=O)C)c4cc(F)ccc34	12717310	Ratio	=	0.1	-	NA	Ratio	=	0.1			NA	0	BAO_0000179			949751	CHEMBL2350849	A	Efflux ratio of permeability in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72741	CHEMBL2346624	23350847	J. Med. Chem.	2013	56	4	1677	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2348851	1530693	CHEMBL2348851	1530693		7	356.38	1.75	109.36	0	COc1ccc(cc1OC)c2cnc3[nH]cc(C(=O)NC(C)CO)c3n2	12717328	Ratio	=	2	-	NA	Ratio	=	2			NA	0	BAO_0000179			949751	CHEMBL2350849	A	Efflux ratio of permeability in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72741	CHEMBL2346624	23350847	J. Med. Chem.	2013	56	4	1677	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2323692	1517853	CHEMBL2323692	1517853		11d	535.64	0.51	177.39	2	CC(C)c1[nH]nc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1Cc3ccc(CCCC(=O)NC(C)(C)CO)cc3	12664545	Ratio		NA		NA	Ratio		NA		Not Determined	NA	0	BAO_0000193			938468	CHEMBL2329657	A	Efflux ratio of permeability in human Caco2 cells after 2 hrs	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72098	CHEMBL2321755	23273606	Bioorg. Med. Chem.	2013	21	3	748	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2323802	1517964	CHEMBL2323802	1517964		5c	373.43	2.45	63.57	0	CC(C)OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O	12653261	Ratio	=	2.8	-	NA	Ratio	=	2.8			NA	0	BAO_0000179			941847	CHEMBL2329880	A	Efflux ratio of permeability from basolateral to apical side to apical to basolateral side in human Caco2 cells in presence of P-gp inhibitor GF120918	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72185	CHEMBL2321693	23432334	J. Med. Chem.	2013	56	6	2690	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2323805	1517967	CHEMBL2323805	1517967		5f	415.51	3.62	63.57	0	CCCCCCOC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O	12653240	Ratio	=	19	-	NA	Ratio	=	19			NA	0	BAO_0000179			941850	CHEMBL2329883	A	Efflux ratio of permeability from basolateral to apical side to apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72185	CHEMBL2321693	23432334	J. Med. Chem.	2013	56	6	2690	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2323806	1517968	CHEMBL2323806	1517968		5g	421.47	3.24	63.57	0	Fc1cc2C(=O)C(=CN(C3CC3)c2cc1N4CCNCC4)C(=O)OCc5ccccc5	12653241	Ratio	=	18	-	NA	Ratio	=	18			NA	0	BAO_0000179			941850	CHEMBL2329883	A	Efflux ratio of permeability from basolateral to apical side to apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72185	CHEMBL2321693	23432334	J. Med. Chem.	2013	56	6	2690	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2332469	1522098	CHEMBL2332469	1522098		35	451.59	3.06	71.41	0	CS(=O)(=O)NCc1cccc(c1)C2=CC(=O)N(CC3CN4CCC3CC4)c5ccccc25	12699333	Ratio		NA		NA	Ratio		NA		Not Determined	NA	0	BAO_0000193			943347	CHEMBL2340855	A	Efflux ratio of the compound in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72630	CHEMBL2331502	23414838	Bioorg. Med. Chem. Lett.	2013	23	6	1684	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL460085	452502	CHEMBL460085	452502		7	475.58	1.01	126.31	0	CCOc1ncc(cc1C2=Nc3c(CC)n(C)nc3C(=O)N2)S(=O)(=O)N4CCN(CC)CC4	2588001	Ratio	=	1	-	NA	Ratio	=	1			NA	0	BAO_0000179			558194	CHEMBL962328	A	Ratio of permeability from apical to basolateral side over basolateral to apical side in human Caco-2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	44900	CHEMBL1152155	18951784	Bioorg. Med. Chem. Lett.	2008	18	23	6033	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1671918	1068942	CHEMBL1671918	1068942		10	289.36	3.13	71.09	0	CCCC(=O)Nc1ccc(cc1)C(=O)Nc2nccs2	5207304	Ratio	=	0.7	-	NA	Ratio	=	0.7			NA	0	BAO_0000179			718210	CHEMBL1679256	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco2 cells after 21 to 28 days by LC-MS/MS analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	55633	CHEMBL1671809	21210664	J. Med. Chem.	2011	54	3	751	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL2177113	1438700	CHEMBL2177113	1438700		30	421.48	4.57	77.05	0	NC1=NC(c2cccc(c2)c3cncnc3)(c4ccnc(c4)C5CC5)c6cccc(F)c16	12143556	Ratio	=	0.5	-	NA	Ratio	=	0.5			NA	0	BAO_0000179			874891	CHEMBL2182707	A	Efflux ratio of apparent permeability from basal to apical to apical to basal side of human Caco2 cells at 10 uM after 60 mins by LC/MS analysis	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	66575	CHEMBL2177072	22924815	J. Med. Chem.	2012	55	21	9346	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL396609	408364	CHEMBL396609	408364	MACROCARPAL A	M-A	472.62	5.41	115.06	1	CC(C)C[C@@H](c1c(O)c(C=O)c(O)c(C=O)c1O)[C@@]2(C)CC[C@@H]3[C@@H]2[C@H]4[C@@H](CC[C@@]3(C)O)C4(C)C	2015007	Ratio	=	1.02	-	NA	Ratio	=	1.02			NA	0	BAO_0000179			453404	CHEMBL885404	A	Ratio of permeability from basolateral to apical side over apical to basolateral side of human Caco-2 cells at 30 uM	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	37346	CHEMBL1138427	17118653	Bioorg. Med. Chem. Lett.	2007	17	4	1107	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL399700	415438	CHEMBL399700	415438		24	361.81	0.67	112.33	0	COCCCN(c1cc(Cl)cc2NC(=O)C(=O)Nc12)S(=O)(=O)C	2036103	Ratio	=	0.1	-	NA	Ratio	=	0.1			NA	0	BAO_0000179			456505	CHEMBL887328	A	Ratio of permeability from basolateral to apical over apical to basolateral side of the Caco-2 cell membrane	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	37661	CHEMBL1140651	17562362	Bioorg. Med. Chem. Lett.	2007	17	16	4599	495	CHEMBL3307519	Caco-2	NA	NA
